second,app_cpu_percent,app_memory_mb
1,2.387149981978376,171.142333984375
2,2.4363916873516893,176.68927001953125
3,2.421370935541682,177.87677001953125
4,2.4140458822306607,178.42364501953125
5,2.4132328839247084,178.14239501953125
6,2.416329454249442,178.79864501953125
7,2.4148899078676944,178.79864501953125
8,2.3965050549030793,178.72052001953125
9,2.4217652379006784,178.79864501953125
10,2.4253218498568994,178.79864501953125
11,2.408775063877779,178.78302001953125
12,2.411935178847371,178.78302001953125
13,2.402552312600601,178.76739501953125
14,2.4354933962403496,178.76739501953125
15,2.414479733998901,178.76739501953125
16,2.4149787271941916,178.84552001953125
17,2.4036877347652306,178.86114501953125
18,2.4162066953877845,178.86114501953125
