second,app_cpu_percent,app_memory_mb
1,2.413446653144197,250.3143310546875
2,2.444546160272227,215.09564208984375
3,2.435836693805637,238.23638916015625
4,2.4482843755267334,221.8614501953125
5,2.4213337075810464,188.0802001953125
6,2.415222874192617,185.2989501953125
7,2.419038417247813,185.2833251953125
8,2.434764681750049,214.61151123046875
9,2.4081914753578135,185.34588623046875
10,2.417222454369693,185.34588623046875
11,2.4302753009147757,185.25213623046875
12,2.4147108426605164,201.299072265625
13,2.4196673892221923,182.705322265625
14,2.4355817627459824,221.72100830078125
15,2.409258384553548,181.47100830078125
16,2.4610421439275756,210.2366943359375
17,2.4148399666410905,181.4866943359375
18,2.437445546807497,181.4866943359375
