second,cpu_percent,rss_mb
1,14.3,174.312
2,14.3,174.969
3,15.9,175.25
4,17.6,175.453
5,13.2,175.781
6,6,176.188
7,12.2,176.453
8,18,173.562
9,17,174.0
10,7,174.391
11,10.2,174.609
12,15,174.969
13,17,175.234
14,10.6,175.422
