second,cpu_percent,rss_mb
1,8.7,379.781
2,7.9,380.297
3,4.9,381.562
4,4.9,380.875
5,6.3,381.438
6,8.6,381.609
7,8.5,381.844
8,5.1,382.094
9,8.7,379.203
10,4.8,379.688
11,9.3,379.953
12,14.5,380.203
13,6.3,380.438
14,11.1,380.625
